Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
1/10/22;Villareal;1;1;14;6;61;481;83;8;3;0;5;0;0;0;0;1;0;1;0
18/9/22;Villareal;1;3;12;1;55;455;84;12;5;0;4;0;0;0;0;1;0;1;0
15/9/22;Villareal;21;1;12;4;51;427;86;16;3;0;3;0;0;0;1;0;0;1;0
11/9/22;Villareal;1;1;14;3;53;413;86;14;1;0;8;0;0;0;0;0;1;1;0
8/9/22;Villareal;21;3;11;3;44;334;82;8;1;0;1;0;0;0;0;0;1;1;0
4/9/22;Villareal;1;1;7;0;46;403;88;9;3;0;4;0;0;0;0;0;1;1;0
25/8/22;Villareal;21;1;9;4;55;456;85;12;3;0;4;1;1;2;1;0;0;1;0
21/8/22;Villareal;1;1;19;5;49;491;90;11;2;0;6;0;0;0;1;0;0;1;0
18/8/22;Villareal;21;1;15;7;55;452;89;7;2;0;6;4;0;4;1;0;0;0;1
13/8/22;Villareal;1;1;10;4;48;414;78;10;0;0;5;0;0;0;1;0;0;1;0
6/8/22;Villareal;6;1;9;6;45;446;87;9;1;0;1;0;0;0;1;0;0;1;0
22/7/22;Villareal;6;1;7;4;40;386;87;13;0;0;1;0;0;0;1;0;0;1;0
16/7/22;Villareal;6;1;15;7;52;479;88;7;0;0;4;0;0;0;1;0;0;1;0
22/5/22;Villareal;1;1;4;3;30;305;78;7;1;0;1;0;0;0;1;0;0;1;0
15/5/22;Villareal;1;28;11;6;52;400;76;16;3;0;3;0;0;0;1;0;0;1;0
12/5/22;Villareal;1;0;11;8;44;341;82;10;2;0;3;0;0;0;1;0;0;1;0
8/5/22;Villareal;1;0;7;2;46;389;75;15;0;0;2;0;0;0;0;1;0;1;0
