Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
13/8/22;Lecce;4;0;10;4;30;254;72;21;4;0;6;0;1;1;0;0;1;0;1
5/8/22;Lecce;-1;0;16;3;61;597;76;20;1;0;3;0;2;2;0;0;1;0;1
6/5/22;Lecce;22;0;24;7;58;591;87;12;3;0;7;0;1;1;1;0;0;0;1
30/4/22;Lecce;22;0;14;5;52;336;67;11;4;0;7;0;1;1;0;0;1;1;0
25/4/22;Lecce;22;0;20;6;43;313;69;25;3;0;5;1;1;2;1;0;0;0;1
18/4/22;Lecce;22;0;13;0;56;445;68;17;1;0;2;0;0;0;0;0;1;1;0
9/4/22;Lecce;22;0;17;5;49;319;70;18;2;0;6;0;1;1;1;0;0;0;1
5/4/22;Lecce;22;0;14;5;46;386;70;12;3;0;4;2;2;4;1;0;0;1;0
2/4/22;Lecce;22;0;10;3;48;393;72;19;4;0;5;1;0;1;1;0;0;0;1
19/3/22;Lecce;22;0;13;4;46;396;79;28;2;0;5;0;0;0;0;1;0;1;0
15/3/22;Lecce;22;3;12;5;66;566;78;6;1;0;2;1;1;2;0;1;0;1;0
12/3/22;Lecce;22;7;15;4;57;364;69;8;2;0;9;1;0;1;0;1;0;0;1
6/3/22;Lecce;22;3;20;6;52;344;65;26;6;0;2;0;1;1;0;1;0;1;0
2/3/22;Lecce;22;0;12;8;43;342;69;10;2;0;4;1;2;3;1;0;0;0;1
27/2/22;Lecce;22;0;9;3;39;264;61;14;3;0;1;0;1;1;1;0;0;1;0
23/2/22;Lecce;22;7;17;4;61;460;72;16;2;0;3;0;1;1;0;0;1;0;1
